t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
67,1.751931932858497e-13,1.0009090909092344,1.0009090909090592,1.11,0.05454545454538283,0.05454545454530936,0.05454545454547044,0.03500000000009278,0.035000000000048985,0.03500000000001324,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
68,1.2301271112846734e-13,1.000909090909191,1.0009090909090679,1.11,0.05454545454540466,0.05454545454535316,0.05454545454546611,0.03500000000006509,0.03500000000003434,0.03500000000000929,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
69,8.593126210598712e-14,1.00090909090916,1.000909090909074,1.11,0.054545454545420036,0.05454545454538391,0.054545454545463,0.03500000000004557,0.03500000000002409,0.03500000000000652,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
70,6.039613253960852e-14,1.0009090909091387,1.0009090909090783,1.11,0.05454545454543069,0.054545454545405395,0.05454545454546089,0.035000000000031964,0.035000000000016865,0.03500000000000456,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
71,4.241051954068098e-14,1.0009090909091236,1.0009090909090812,1.11,0.05454545454543823,0.054545454545420494,0.05454545454545945,0.03500000000002243,0.03500000000001183,0.0350000000000032,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
72,2.9531932455029164e-14,1.000909090909113,1.0009090909090834,1.11,0.054545454545443545,0.054545454545431096,0.05454545454545834,0.035000000000015685,0.0350000000000083,0.03500000000000225,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
73,2.0650148258027912e-14,1.0009090909091056,1.000909090909085,1.11,0.054545454545447195,0.05454545454543848,0.05454545454545756,0.035000000000010974,0.03500000000000581,0.03500000000000158,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
74,1.4432899320127035e-14,1.0009090909091005,1.000909090909086,1.11,0.05454545454544974,0.05454545454544364,0.054545454545457006,0.03500000000000768,0.03500000000000407,0.03500000000000111,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
75,1.0436096431476471e-14,1.0009090909090972,1.0009090909090868,1.11,0.05454545454545151,0.05454545454544725,0.05454545454545667,0.03500000000000545,0.03500000000000284,0.035000000000000774,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
76,7.105427357601002e-15,1.0009090909090943,1.0009090909090872,1.11,0.054545454545452884,0.05454545454544986,0.05454545454545645,0.0350000000000038,0.03500000000000202,0.03500000000000055,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
77,5.10702591327572e-15,1.0009090909090925,1.0009090909090874,1.11,0.05454545454545374,0.054545454545451635,0.05454545454545634,0.03500000000000268,0.035000000000001405,0.035000000000000385,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
78,3.774758283725532e-15,1.0009090909090914,1.0009090909090876,1.11,0.0545454545454544,0.05454545454545291,0.05454545454545623,0.03500000000000194,0.035000000000000996,0.035000000000000274,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
79,2.4424906541753444e-15,1.0009090909090903,1.0009090909090879,1.11,0.054545454545454924,0.054545454545453856,0.05454545454545612,0.03500000000000133,0.03500000000000072,0.0350000000000002,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
80,1.5543122344752192e-15,1.0009090909090896,1.000909090909088,1.11,0.0545454545454552,0.054545454545454466,0.05454545454545601,0.035000000000000885,0.035000000000000496,0.03500000000000014,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
