t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
74,1.4654943925052066e-14,1.0009090909091,1.0009090909090854,1.11,0.05454545454545,0.054545454545443864,0.05454545454545734,0.035000000000007754,0.03500000000000409,0.035000000000001114,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
75,1.0436096431476471e-14,1.0009090909090965,1.000909090909086,1.11,0.05454545454545183,0.05454545454544753,0.054545454545457006,0.03500000000000548,0.03500000000000287,0.03500000000000078,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
76,7.105427357601002e-15,1.0009090909090936,1.0009090909090865,1.11,0.054545454545453176,0.05454545454545014,0.054545454545456784,0.035000000000003806,0.03500000000000203,0.03500000000000056,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
77,5.329070518200751e-15,1.000909090909092,1.0009090909090868,1.11,0.05454545454545402,0.05454545454545191,0.05454545454545667,0.035000000000002744,0.03500000000000141,0.035000000000000385,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
78,3.552713678800501e-15,1.0009090909090905,1.000909090909087,1.11,0.054545454545454765,0.054545454545453245,0.05454545454545656,0.035000000000001905,0.035000000000001016,0.03500000000000028,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
79,2.4424906541753444e-15,1.0009090909090896,1.0009090909090872,1.11,0.054545454545455195,0.05454545454545413,0.05454545454545645,0.03500000000000132,0.03500000000000071,0.0350000000000002,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
80,1.9984014443252818e-15,1.0009090909090892,1.0009090909090872,1.11,0.05454545454545548,0.054545454545454744,0.05454545454545645,0.035000000000000996,0.035000000000000496,0.03500000000000014,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
81,0.0,1.0009090909090885,1.0009090909090872,1.11,0.0545454545454558,0.054545454545455244,0.05454545454545645,0.03500000000000037,0.03500000000000037,0.03500000000000011,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
82,1.9984014443252818e-15,1.0009090909090892,1.0009090909090872,1.11,0.05454545454545545,0.054545454545455244,0.05454545454545645,0.03500000000000064,0.03500000000000014,0.035000000000000045,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
83,0.0,1.0009090909090879,1.0009090909090872,1.11,0.0545454545454561,0.05454545454545574,0.05454545454545645,0.03500000000000024,0.03500000000000024,0.03500000000000007,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
84,0.0,1.0009090909090883,1.0009090909090872,1.11,0.05454545454545588,0.05454545454545574,0.05454545454545645,0.035000000000000094,0.035000000000000094,0.03500000000000003,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
85,0.0,1.0009090909090885,1.0009090909090872,1.11,0.0545454545454558,0.05454545454545574,0.05454545454545645,0.03500000000000004,0.03500000000000004,0.03500000000000002,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
86,0.0,1.0009090909090885,1.0009090909090872,1.11,0.054545454545455764,0.05454545454545574,0.05454545454545645,0.03500000000000002,0.03500000000000002,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
87,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545576,0.05454545454545574,0.05454545454545645,0.03500000000000001,0.03500000000000001,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
88,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
89,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
90,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
91,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
92,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
93,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
94,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
95,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
96,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
97,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
98,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
99,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
100,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
101,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
102,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
103,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
104,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
105,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
106,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
107,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
108,0.0,1.0009090909090885,1.0009090909090872,1.11,0.05454545454545574,0.05454545454545574,0.05454545454545645,0.035,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
